english,class,neutral-hebrew,neutral-trans,female-hebrew,female-trans,male-hebrew,male-trans
Hello,neutral,שלום,sha-lom,,,,
Good morning,neutral,בוקר טוב,bo-ker tov,,,,
Good afternoon,neutral,צהריים טובים,tzo-ha-rye-eem toe-veem,,,,
Good evening,neutral,ערב טוב,air-ev tov,,,,
My name is,neutral,שמי _____,shmee ____,,,,
I am an English teacher,from,,,אני מורה לאנגלית,ah-nee moe-ra l-an-gleet,אני מורה לאנגלית,ah-nee moe-ray l-an-gleet
How are you?,to,,,מה שלומך?,ma-shlom-ech?,מה שלומך?,mah-shlom-cha?
Where are you?,to a femaie,,,אפוה את?,ay-pho aat?,אפוה אתה?,ay-pho aa-ta?
I dont hear you,neutral,לא שומעים,lo shom-eem,,,,
I dont see you,neutral,לא רואים,lo row-eem,,,,
I like ____,from,,,אני אוהבת ___,ah-nee o-he-vet  ____,אני אוהב,ah-nee o-hev ___
Do you like ____,to,,,את אוהבת?,ot-o-he-vet ____ ?,אתה אוהב?,ah-ta o-hev ____ ?
"First me, than you",to,,,"קודם אני, אז את","co-dem-ah-nee, az-aat","קודם אני, אז אתה","co-dem-ah-nee, az-aa-ta"
Ok?,neutral,בסדר?,b-se-dare?,,,,
Well done!,neutral,כל כבוד!,cole ha-ka-vode,,,,
Cool!,neutral,סבבה,sa-ba-ba,,,,
Perfect!,neutral,מוש!,moosh!,,,,
Almost,neutral,כמעט,keem-at,,,,
song,neutral,שיר,shir,,,,
picture,neutral,תמונה,tmoo-na,,,,
movie clip,neutral,סרטון,sear-tone,,,,
again,neutral,עוד פעם,ode-pom,,,,
Thank you!,neutral,תודה רבה!,to-da ra-bah,,,,
I need to go,from,,,אני צריכה ללכת,ah-nee tzri-cha la-le-chet,אני צריכה ללכת,ah-nee tza-reech la-le-chet
See you soon!,neutral,להתראות,leh-heet-ra-oat,,,,
